From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology (molecular function)
A0A225AD51	A0A225AD51	unreviewed	A0A225AD51_9EURO	Peroxin 20	UA08_05776	Talaromyces atroroseus	357	protein import into peroxisome matrix, docking [GO:0016560]	cytosol [GO:0005829]; peroxisomal membrane [GO:0005778]; peroxisome matrix targeting signal-1 binding [GO:0005052]; protein import into peroxisome matrix, docking [GO:0016560]	peroxisome matrix targeting signal-1 binding [GO:0005052]
B6QMC2	B6QMC2	unreviewed	B6QMC2_TALMQ	DUF7702 domain-containing protein	PMAA_050420	Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	277		membrane [GO:0016020]	
A0A225AUW9	A0A225AUW9	unreviewed	A0A225AUW9_9EURO	Major facilitator superfamily (MFS) profile domain-containing protein	UA08_03319	Talaromyces atroroseus	619		membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]
A0A0B8N2I1	A0A0B8N2I1	unreviewed	A0A0B8N2I1_TALPI	Carrier domain-containing protein	TCE0_011r00480	Talaromyces pinophilus (Penicillium pinophilum)	1633	amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; secondary metabolite biosynthetic process [GO:0044550]	cytoplasm [GO:0005737]; catalytic activity [GO:0003824]; phosphopantetheine binding [GO:0031177]; amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; secondary metabolite biosynthetic process [GO:0044550]	catalytic activity [GO:0003824]; phosphopantetheine binding [GO:0031177]
A0AAD4KTF2	A0AAD4KTF2	unreviewed	A0AAD4KTF2_9EURO	AB hydrolase-1 domain-containing protein	BGW36DRAFT_415591	Talaromyces proteolyticus	481	lipid storage [GO:0019915]	lipid droplet [GO:0005811]; lipase activity [GO:0016298]; lipid storage [GO:0019915]	lipase activity [GO:0016298]
A0A225ALN1	A0A225ALN1	unreviewed	A0A225ALN1_9EURO	Chromatin structure-remodeling complex subunit sfh1	UA08_05775	Talaromyces atroroseus	550	chromatin remodeling [GO:0006338]; regulation of DNA-templated transcription [GO:0006355]	nuclear chromosome [GO:0000228]; zinc ion binding [GO:0008270]; chromatin remodeling [GO:0006338]; regulation of DNA-templated transcription [GO:0006355]	zinc ion binding [GO:0008270]
A0A093VU91	A0A093VU91	unreviewed	A0A093VU91_TALMA	Dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl peptidase III)	GQ26_0013280	Talaromyces marneffei PM1	2501		mitochondrial inner membrane [GO:0005743]; ATP binding [GO:0005524]; dipeptidyl-peptidase activity [GO:0008239]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]	ATP binding [GO:0005524]; dipeptidyl-peptidase activity [GO:0008239]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]
A0A225AEV7	A0A225AEV7	unreviewed	A0A225AEV7_9EURO	Uncharacterized protein	UA08_05772	Talaromyces atroroseus	406	mitochondrial genome maintenance [GO:0000002]; pyrimidine nucleotide import into mitochondrion [GO:1990519]	mitochondrial inner membrane [GO:0005743]; pyrimidine nucleotide transmembrane transporter activity [GO:0015218]; mitochondrial genome maintenance [GO:0000002]; pyrimidine nucleotide import into mitochondrion [GO:1990519]	pyrimidine nucleotide transmembrane transporter activity [GO:0015218]
B8M6J5	B8M6J5	unreviewed	B8M6J5_TALSN	DUF3433 domain protein	TSTA_027510	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	740		membrane [GO:0016020]	
B8LTS5	B8LTS5	unreviewed	B8LTS5_TALSN	Cytochrome b-c1 complex subunit 7	TSTA_070740	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	123	mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]; mitochondrial respiratory chain complex III assembly [GO:0034551]	matrix side of mitochondrial inner membrane [GO:0099617]; respiratory chain complex III [GO:0045275]; ubiquinol-cytochrome-c reductase activity [GO:0008121]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]; mitochondrial respiratory chain complex III assembly [GO:0034551]	ubiquinol-cytochrome-c reductase activity [GO:0008121]
A0A225AD88	A0A225AD88	unreviewed	A0A225AD88_9EURO	HhH-GPD domain-containing protein	UA08_05770	Talaromyces atroroseus	374	base-excision repair, AP site formation [GO:0006285]; DNA alkylation repair [GO:0006307]	nucleus [GO:0005634]; protein-DNA complex [GO:0032993]; alkylated DNA binding [GO:0032131]; DNA-3-methyladenine glycosylase activity [GO:0008725]; DNA-7-methylguanine glycosylase activity [GO:0043916]; base-excision repair, AP site formation [GO:0006285]; DNA alkylation repair [GO:0006307]	alkylated DNA binding [GO:0032131]; DNA-3-methyladenine glycosylase activity [GO:0008725]; DNA-7-methylguanine glycosylase activity [GO:0043916]
B8MLX7	B8MLX7	unreviewed	B8MLX7_TALSN	Sulfatase N-terminal domain-containing protein	TSTA_097450	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	843		membrane [GO:0016020]	
A0A225AEZ4	A0A225AEZ4	unreviewed	A0A225AEZ4_9EURO	Protein ecm33	UA08_05769	Talaromyces atroroseus	401	fungal-type cell wall organization [GO:0031505]	cell surface [GO:0009986]; fungal-type cell wall [GO:0009277]; plasma membrane [GO:0005886]; fungal-type cell wall organization [GO:0031505]	
A0A225ANR0	A0A225ANR0	unreviewed	A0A225ANR0_9EURO	BHLH domain-containing protein	UA08_05768	Talaromyces atroroseus	419			
A0A225AX09	A0A225AX09	unreviewed	A0A225AX09_9EURO	YCII-related domain-containing protein	UA08_05766	Talaromyces atroroseus	109			
A0A225AI44	A0A225AI44	unreviewed	A0A225AI44_9EURO	ABC1 atypical kinase-like domain-containing protein	UA08_05764	Talaromyces atroroseus	603	lipid homeostasis [GO:0055088]; mitochondrion organization [GO:0007005]	mitochondrial inner membrane [GO:0005743]; lipid homeostasis [GO:0055088]; mitochondrion organization [GO:0007005]	
A0A364KKF7	A0A364KKF7	unreviewed	A0A364KKF7_TALAM	Cytokinesis protein sepH (EC 2.7.11.1) (Serine/threonine-protein kinase sepH)	BHQ10_000039	Talaromyces amestolkiae	2254		cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; tetrahydrofolylpolyglutamate synthase activity [GO:0004326]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; tetrahydrofolylpolyglutamate synthase activity [GO:0004326]
A0A225AVQ3	A0A225AVQ3	unreviewed	A0A225AVQ3_9EURO	cyclin-dependent kinase (EC 2.7.11.22)	UA08_02579	Talaromyces atroroseus	469	regulation of mitotic cell cycle [GO:0007346]	nucleus [GO:0005634]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; regulation of mitotic cell cycle [GO:0007346]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
A0A225ACV8	A0A225ACV8	unreviewed	A0A225ACV8_9EURO	Dihydrofolate synthetase (EC 6.3.2.12)	UA08_05762	Talaromyces atroroseus	413	one-carbon metabolic process [GO:0006730]	cytosol [GO:0005829]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; dihydrofolate synthase activity [GO:0008841]; metal ion binding [GO:0046872]; tetrahydrofolylpolyglutamate synthase activity [GO:0004326]; one-carbon metabolic process [GO:0006730]	ATP binding [GO:0005524]; dihydrofolate synthase activity [GO:0008841]; metal ion binding [GO:0046872]; tetrahydrofolylpolyglutamate synthase activity [GO:0004326]
A0A225ACX2	A0A225ACX2	unreviewed	A0A225ACX2_9EURO	Uncharacterized protein	UA08_05761	Talaromyces atroroseus	449			
A0A225ATQ5	A0A225ATQ5	unreviewed	A0A225ATQ5_9EURO	Phosphoribulokinase/uridine kinase domain-containing protein	UA08_05760	Talaromyces atroroseus	239			
A0A225AEL2	A0A225AEL2	unreviewed	A0A225AEL2_9EURO	Ribonucleoside-diphosphate reductase (EC 1.17.4.1)	UA08_05759	Talaromyces atroroseus	873	deoxyribonucleotide biosynthetic process [GO:0009263]	ribonucleoside-diphosphate reductase complex [GO:0005971]; ATP binding [GO:0005524]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]; deoxyribonucleotide biosynthetic process [GO:0009263]	ATP binding [GO:0005524]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]
B6QQD6	B6QQD6	unreviewed	B6QQD6_TALMQ	Transporter protein smf2	PMAA_041090	Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	569	intracellular manganese ion homeostasis [GO:0030026]; iron ion transmembrane transport [GO:0034755]	plasma membrane [GO:0005886]; cadmium ion transmembrane transporter activity [GO:0015086]; manganese ion transmembrane transporter activity [GO:0005384]; intracellular manganese ion homeostasis [GO:0030026]; iron ion transmembrane transport [GO:0034755]	cadmium ion transmembrane transporter activity [GO:0015086]; manganese ion transmembrane transporter activity [GO:0005384]
A0A225AZM7	A0A225AZM7	unreviewed	A0A225AZM7_9EURO	RlpA-like protein double-psi beta-barrel domain-containing protein	UA08_05758	Talaromyces atroroseus	262			
A0A225ANV6	A0A225ANV6	unreviewed	A0A225ANV6_9EURO	Rhodopsin domain-containing protein	UA08_05757	Talaromyces atroroseus	919		plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]
A0A225ATY7	A0A225ATY7	unreviewed	A0A225ATY7_9EURO	Uncharacterized protein	UA08_05756	Talaromyces atroroseus	193			
A0A225AET2	A0A225AET2	unreviewed	A0A225AET2_9EURO	Glutamate dehydrogenase	UA08_05755	Talaromyces atroroseus	465	glutamate biosynthetic process [GO:0006537]	cytosol [GO:0005829]; glutamate dehydrogenase (NADP+) activity [GO:0004354]; nucleotide binding [GO:0000166]; glutamate biosynthetic process [GO:0006537]	glutamate dehydrogenase (NADP+) activity [GO:0004354]; nucleotide binding [GO:0000166]
A0A225ACH4	A0A225ACH4	unreviewed	A0A225ACH4_9EURO	Threonine synthase	UA08_05754	Talaromyces atroroseus	530	threonine biosynthetic process [GO:0009088]	threonine synthase activity [GO:0004795]; threonine biosynthetic process [GO:0009088]	threonine synthase activity [GO:0004795]
A0A225AZU4	A0A225AZU4	unreviewed	A0A225AZU4_9EURO	D-xylose reductase [NAD(P)H] (EC 1.1.1.307)	UA08_05753	Talaromyces atroroseus	242		aldo-keto reductase (NADPH) activity [GO:0004033]	aldo-keto reductase (NADPH) activity [GO:0004033]
A0A225AE59	A0A225AE59	unreviewed	A0A225AE59_9EURO	Ilp is an apoptosis inhibitor	UA08_05752	Talaromyces atroroseus	215			
A0A225ACE7	A0A225ACE7	unreviewed	A0A225ACE7_9EURO	Mediator of RNA polymerase II transcription subunit 5 (Mediator complex subunit 5)	MED5 UA08_05751	Talaromyces atroroseus	1040	regulation of transcription by RNA polymerase II [GO:0006357]	mediator complex [GO:0016592]; transcription coregulator activity [GO:0003712]; regulation of transcription by RNA polymerase II [GO:0006357]	transcription coregulator activity [GO:0003712]
A0A225AKH3	A0A225AKH3	unreviewed	A0A225AKH3_9EURO	Ras guanine-nucleotide exchange protein	UA08_05750	Talaromyces atroroseus	1150	Ras protein signal transduction [GO:0007265]	plasma membrane [GO:0005886]; guanyl-nucleotide exchange factor activity [GO:0005085]; Ras protein signal transduction [GO:0007265]	guanyl-nucleotide exchange factor activity [GO:0005085]
A0A225AIB0	A0A225AIB0	unreviewed	A0A225AIB0_9EURO	MutL C-terminal dimerisation domain-containing protein	UA08_05749	Talaromyces atroroseus	972	mismatch repair [GO:0006298]	mismatch repair complex [GO:0032300]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent DNA damage sensor activity [GO:0140664]; mismatch repair [GO:0006298]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent DNA damage sensor activity [GO:0140664]
A0A225AHQ6	A0A225AHQ6	unreviewed	A0A225AHQ6_9EURO	Ca2+-modulated nonselective cation channel polycystin	UA08_05748	Talaromyces atroroseus	473			
A0A225AES4	A0A225AES4	unreviewed	A0A225AES4_9EURO	BZIP domain-containing protein	UA08_05747	Talaromyces atroroseus	297		nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]
A0A225ACG4	A0A225ACG4	unreviewed	A0A225ACG4_9EURO	CHL4 family chromosome segregation protein	UA08_05746	Talaromyces atroroseus	504	CENP-A containing chromatin assembly [GO:0034080]; chromosome segregation [GO:0007059]	CENP-A containing chromatin assembly [GO:0034080]; chromosome segregation [GO:0007059]	
A0A7H8R5I8	A0A7H8R5I8	unreviewed	A0A7H8R5I8_TALRU	Aldehyde dehydrogenase	TRUGW13939_08615	Talaromyces rugulosus (Penicillium rugulosum)	548	aldehyde metabolic process [GO:0006081]	cytoplasm [GO:0005737]; aldehyde dehydrogenase (NAD+) activity [GO:0004029]; aldehyde metabolic process [GO:0006081]	aldehyde dehydrogenase (NAD+) activity [GO:0004029]
A0A225AXD1	A0A225AXD1	unreviewed	A0A225AXD1_9EURO	RING-type domain-containing protein	UA08_05745	Talaromyces atroroseus	231		ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]
A0A225AT75	A0A225AT75	unreviewed	A0A225AT75_9EURO	DUF974 domain protein	UA08_05744	Talaromyces atroroseus	230		TRAPPIII protein complex [GO:1990072]	
A0A225AWI2	A0A225AWI2	unreviewed	A0A225AWI2_9EURO	DENN domain-containing protein	UA08_05742	Talaromyces atroroseus	1118	regulation of Rab protein signal transduction [GO:0032483]	cytoplasmic vesicle [GO:0031410]; metal ion binding [GO:0046872]; regulation of Rab protein signal transduction [GO:0032483]	metal ion binding [GO:0046872]
A0A225AUJ8	A0A225AUJ8	unreviewed	A0A225AUJ8_9EURO	Pentafunctional AROM polypeptide	UA08_05741	Talaromyces atroroseus	678		3-dehydroquinate dehydratase activity [GO:0003855]	3-dehydroquinate dehydratase activity [GO:0003855]
A0A225ASV4	A0A225ASV4	unreviewed	A0A225ASV4_9EURO	2,2-dialkylglycine decarboxylase	UA08_01050	Talaromyces atroroseus	440		mitochondrion [GO:0005739]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]
A0A225ANE2	A0A225ANE2	unreviewed	A0A225ANE2_9EURO	Transcription factor domain-containing protein	UA08_05737	Talaromyces atroroseus	1092	DNA-templated transcription [GO:0006351]	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]
A0A225ADI9	A0A225ADI9	unreviewed	A0A225ADI9_9EURO	Cytochrome b5 heme-binding domain-containing protein	UA08_05736	Talaromyces atroroseus	123		endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]	
A0A225ADI8	A0A225ADI8	unreviewed	A0A225ADI8_9EURO	RRM domain-containing protein	UA08_05735	Talaromyces atroroseus	697		nucleolus [GO:0005730]; mRNA binding [GO:0003729]	mRNA binding [GO:0003729]
A0A225B0C9	A0A225B0C9	unreviewed	A0A225B0C9_9EURO	ERCC1-like central domain-containing protein	UA08_05734	Talaromyces atroroseus	326	double-strand break repair via single-strand annealing [GO:0045002]; gene conversion at mating-type locus [GO:0007534]; UV-damage excision repair [GO:0070914]	ERCC4-ERCC1 complex [GO:0070522]; nucleotide-excision repair factor 1 complex [GO:0000110]; site of double-strand break [GO:0035861]; damaged DNA binding [GO:0003684]; polyubiquitin modification-dependent protein binding [GO:0031593]; single-stranded DNA binding [GO:0003697]; double-strand break repair via single-strand annealing [GO:0045002]; gene conversion at mating-type locus [GO:0007534]; UV-damage excision repair [GO:0070914]	damaged DNA binding [GO:0003684]; polyubiquitin modification-dependent protein binding [GO:0031593]; single-stranded DNA binding [GO:0003697]
A0A225APP6	A0A225APP6	unreviewed	A0A225APP6_9EURO	TLC domain-containing protein	UA08_05733	Talaromyces atroroseus	449	ceramide biosynthetic process [GO:0046513]	membrane [GO:0016020]; sphingosine N-acyltransferase activity [GO:0050291]; ceramide biosynthetic process [GO:0046513]	sphingosine N-acyltransferase activity [GO:0050291]
A0A225AUH5	A0A225AUH5	unreviewed	A0A225AUH5_9EURO	Uncharacterized protein	UA08_05732	Talaromyces atroroseus	391		membrane [GO:0016020]	
A0A225AF95	A0A225AF95	unreviewed	A0A225AF95_9EURO	DUF7598 domain-containing protein	UA08_05731	Talaromyces atroroseus	250		membrane [GO:0016020]	
A0A225ALQ4	A0A225ALQ4	unreviewed	A0A225ALQ4_9EURO	Survival Motor Neuron Gemin2-binding domain-containing protein	UA08_05729	Talaromyces atroroseus	166	mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	nucleus [GO:0005634]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	
A0A225AXR3	A0A225AXR3	unreviewed	A0A225AXR3_9EURO	RRM domain-containing protein	UA08_05728	Talaromyces atroroseus	472		nucleolus [GO:0005730]; RNA binding [GO:0003723]	RNA binding [GO:0003723]
A0A225AWA9	A0A225AWA9	unreviewed	A0A225AWA9_9EURO	Uncharacterized protein	UA08_05727	Talaromyces atroroseus	230			
A0A225AVH0	A0A225AVH0	unreviewed	A0A225AVH0_9EURO	Protein get1	GET1 UA08_05726	Talaromyces atroroseus	202	tail-anchored membrane protein insertion into ER membrane [GO:0071816]	endoplasmic reticulum membrane [GO:0005789]; GET complex [GO:0043529]; protein-membrane adaptor activity [GO:0043495]; tail-anchored membrane protein insertion into ER membrane [GO:0071816]	protein-membrane adaptor activity [GO:0043495]
A0A225AWY9	A0A225AWY9	unreviewed	A0A225AWY9_9EURO	Heterokaryon incompatibility domain-containing protein	UA08_05725	Talaromyces atroroseus	367		cytoplasm [GO:0005737]; protein prenyltransferase activity [GO:0008318]	protein prenyltransferase activity [GO:0008318]
A0A225ACE1	A0A225ACE1	unreviewed	A0A225ACE1_9EURO	Uncharacterized protein	UA08_05724	Talaromyces atroroseus	147			
A0A225AE53	A0A225AE53	unreviewed	A0A225AE53_9EURO	propanoyl-CoA C-acyltransferase (EC 2.3.1.176) (Propanoyl-CoA C-acyltransferase)	UA08_05723	Talaromyces atroroseus	457	lipid transport [GO:0006869]	peroxisome [GO:0005777]; acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; lipid binding [GO:0008289]; lipid transport [GO:0006869]	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; lipid binding [GO:0008289]
A0A225AHI7	A0A225AHI7	unreviewed	A0A225AHI7_9EURO	Urea active transporter	UA08_07158	Talaromyces atroroseus	695		plasma membrane [GO:0005886]; urea transmembrane transporter activity [GO:0015204]	urea transmembrane transporter activity [GO:0015204]
A0A225ANC3	A0A225ANC3	unreviewed	A0A225ANC3_9EURO	Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing])	UA08_05721	Talaromyces atroroseus	734	NAD biosynthetic process [GO:0009435]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glutaminase activity [GO:0004359]; NAD+ synthase (glutamine-hydrolyzing) activity [GO:0003952]; NAD biosynthetic process [GO:0009435]	ATP binding [GO:0005524]; glutaminase activity [GO:0004359]; NAD+ synthase (glutamine-hydrolyzing) activity [GO:0003952]
A0AAD4KMR5	A0AAD4KMR5	unreviewed	A0AAD4KMR5_9EURO	Aldo-keto reductase	BGW36DRAFT_429353	Talaromyces proteolyticus	347			
A0A7H8QKX2	A0A7H8QKX2	unreviewed	A0A7H8QKX2_TALRU	Major facilitator superfamily (MFS) profile domain-containing protein	TRUGW13939_01635	Talaromyces rugulosus (Penicillium rugulosum)	467		membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]
A0A364KKJ5	A0A364KKJ5	unreviewed	A0A364KKJ5_TALAM	Mitochondrial thiamine pyrophosphate carrier 1	BHQ10_000079	Talaromyces amestolkiae	329		mitochondrial inner membrane [GO:0005743]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]
A0A225AHQ0	A0A225AHQ0	unreviewed	A0A225AHQ0_9EURO	pH-response regulator protein palA/RIM20	UA08_05718	Talaromyces atroroseus	830		endosome [GO:0005768]	
A0A225ACG6	A0A225ACG6	unreviewed	A0A225ACG6_9EURO	JmjC domain-containing protein	UA08_05717	Talaromyces atroroseus	363			
B6Q227	B6Q227	unreviewed	B6Q227_TALMQ	Fungal specific transcription factor, putative	PMAA_027470	Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	738	DNA-templated transcription [GO:0006351]; positive regulation of transcription from RNA polymerase II promoter by galactose [GO:0000435]	nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]; positive regulation of transcription from RNA polymerase II promoter by galactose [GO:0000435]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]
A0A225ATH4	A0A225ATH4	unreviewed	A0A225ATH4_9EURO	BZIP domain-containing protein	UA08_05714	Talaromyces atroroseus	297		DNA-binding transcription factor activity [GO:0003700]	DNA-binding transcription factor activity [GO:0003700]
A0A0U1M1Z0	A0A0U1M1Z0	unreviewed	A0A0U1M1Z0_TALIS	Uncharacterized protein	PISL3812_06065	Talaromyces islandicus (Penicillium islandicum)	981			
A0A0U1M7K8	A0A0U1M7K8	unreviewed	A0A0U1M7K8_TALIS	Transmembrane 9 superfamily member	PISL3812_08625	Talaromyces islandicus (Penicillium islandicum)	828	protein localization to membrane [GO:0072657]; vacuolar transport [GO:0007034]	endosome [GO:0005768]; fungal-type vacuole membrane [GO:0000329]; calcium ion binding [GO:0005509]; protein localization to membrane [GO:0072657]; vacuolar transport [GO:0007034]	calcium ion binding [GO:0005509]
B8MFC3	B8MFC3	unreviewed	B8MFC3_TALSN	Myb-like domain-containing protein	TSTA_017320	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	343			
A0A7H8QW23	A0A7H8QW23	unreviewed	A0A7H8QW23_TALRU	Uncharacterized protein	TRUGW13939_04813	Talaromyces rugulosus (Penicillium rugulosum)	2329	fatty acid biosynthetic process [GO:0006633]; secondary metabolite biosynthetic process [GO:0044550]	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; phosphopantetheine binding [GO:0031177]; fatty acid biosynthetic process [GO:0006633]; secondary metabolite biosynthetic process [GO:0044550]	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; phosphopantetheine binding [GO:0031177]
A0AAD4PVT5	A0AAD4PVT5	unreviewed	A0AAD4PVT5_9EURO	Six-hairpin glycosidase-like protein	BGW36DRAFT_461150	Talaromyces proteolyticus	664	carbohydrate metabolic process [GO:0005975]	hydrolase activity, acting on glycosyl bonds [GO:0016798]; carbohydrate metabolic process [GO:0005975]	hydrolase activity, acting on glycosyl bonds [GO:0016798]
B8MFG1	B8MFG1	unreviewed	B8MFG1_TALSN	Altered inheritance of mitochondria protein 6	TSTA_017690	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	419	lipid metabolic process [GO:0006629]	membrane [GO:0016020]; phosphoric diester hydrolase activity [GO:0008081]; lipid metabolic process [GO:0006629]	phosphoric diester hydrolase activity [GO:0008081]
A0A510NVD8	A0A510NVD8	unreviewed	A0A510NVD8_TALPI	AB hydrolase-1 domain-containing protein	TCE0_018r05154	Talaromyces pinophilus (Penicillium pinophilum)	257			
B6QBK6	B6QBK6	unreviewed	B6QBK6_TALMQ	Zn(2)-C6 fungal-type domain-containing protein	PMAA_075160	Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	735	DNA-templated transcription [GO:0006351]	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]
A0A225AP02	A0A225AP02	unreviewed	A0A225AP02_9EURO	Uncharacterized protein	UA08_07457	Talaromyces atroroseus	480	export across plasma membrane [GO:0140115]; xenobiotic transport [GO:0042908]	plasma membrane [GO:0005886]; spermidine transmembrane transporter activity [GO:0015606]; spermine transmembrane transporter activity [GO:0000297]; export across plasma membrane [GO:0140115]; xenobiotic transport [GO:0042908]	spermidine transmembrane transporter activity [GO:0015606]; spermine transmembrane transporter activity [GO:0000297]
A0A225AGD6	A0A225AGD6	unreviewed	A0A225AGD6_9EURO	RNase III domain-containing protein	UA08_07706	Talaromyces atroroseus	342	rRNA processing [GO:0006364]; termination of RNA polymerase II transcription [GO:0006369]; U4 snRNA 3'-end processing [GO:0034475]	nucleoplasm [GO:0005654]; ribonuclease III activity [GO:0004525]; RNA binding [GO:0003723]; rRNA processing [GO:0006364]; termination of RNA polymerase II transcription [GO:0006369]; U4 snRNA 3'-end processing [GO:0034475]	ribonuclease III activity [GO:0004525]; RNA binding [GO:0003723]
A0A225ATW2	A0A225ATW2	unreviewed	A0A225ATW2_9EURO	Uncharacterized protein	UA08_02873	Talaromyces atroroseus	2612	fatty acid biosynthetic process [GO:0006633]; polyketide biosynthetic process [GO:0030639]	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]; fatty acid biosynthetic process [GO:0006633]; polyketide biosynthetic process [GO:0030639]	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]
A0A225ARV4	A0A225ARV4	unreviewed	A0A225ARV4_9EURO	SWIRM domain-containing protein	UA08_07705	Talaromyces atroroseus	373	chromatin remodeling [GO:0006338]; regulation of transcription by RNA polymerase II [GO:0006357]	Rpd3L-Expanded complex [GO:0070210]; chromatin binding [GO:0003682]; transcription coactivator activity [GO:0003713]; chromatin remodeling [GO:0006338]; regulation of transcription by RNA polymerase II [GO:0006357]	chromatin binding [GO:0003682]; transcription coactivator activity [GO:0003713]
A0A225A901	A0A225A901	unreviewed	A0A225A901_9EURO	Meiotically up-regulated gene 89 protein	UA08_07704	Talaromyces atroroseus	463		endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]	
